Reference, Date, Time, Wind Pulses, Direction, Temperature, Humidity, Thermistor, Battery Voltage,,Humidity %
AA,10/02/2014,00:07:22,0,D,8.99,0.71084,10.37,4.44,,71.084
AA,10/02/2014,00:17:22,0,D,8.95,0.7117,10.37,4.44,,71.17
AA,10/02/2014,00:27:22,0,D,8.94,0.71218,10.37,4.44,,71.218
AA,10/02/2014,00:37:22,0,D,8.93,0.71218,10.28,4.44,,71.218
AA,10/02/2014,00:47:22,0,D,8.9,0.71237,10.28,4.44,,71.237
AA,10/02/2014,00:57:22,0,D,8.88,0.71279,10.28,4.44,,71.279
AA,10/02/2014,01:07:22,0,D,8.87,0.71279,10.28,4.44,,71.279
AA,10/02/2014,01:17:22,0,D,8.84,0.71304,10.28,4.44,,71.304
AA,10/02/2014,01:27:22,0,D,8.83,0.71322,10.2,4.43,,71.322
AA,10/02/2014,01:37:22,0,D,8.8,0.71322,10.2,4.43,,71.322
AA,10/02/2014,01:47:22,0,D,8.78,0.71347,10.2,4.43,,71.347
AA,10/02/2014,01:57:22,0,D,8.75,0.71347,10.2,4.43,,71.347
AA,10/02/2014,02:07:22,0,D,8.74,0.71408,10.11,4.43,,71.408
AA,10/02/2014,02:17:22,0,D,8.71,0.7145,10.11,4.43,,71.45
AA,10/02/2014,02:27:22,0,D,8.7,0.71475,10.11,4.43,,71.475
AA,10/02/2014,02:37:22,0,D,8.68,0.71493,10.11,4.43,,71.493
AA,10/02/2014,02:47:22,0,D,8.67,0.71493,10.11,4.43,,71.493
AA,10/02/2014,02:57:22,0,D,8.66,0.71518,10.02,4.43,,71.518
AA,10/02/2014,03:07:22,0,D,8.63,0.71518,10.02,4.43,,71.518
AA,10/02/2014,03:17:22,0,D,8.6,0.71536,10.02,4.43,,71.536
AA,10/02/2014,03:27:22,0,D,8.6,0.71536,10.02,4.43,,71.536
AA,10/02/2014,03:37:22,0,D,8.57,0.71518,10.02,4.43,,71.518
AA,10/02/2014,03:47:22,0,D,8.55,0.71536,9.94,4.43,,71.536
AA,10/02/2014,03:57:22,0,D,8.53,0.71536,9.94,4.43,,71.536
AA,10/02/2014,04:07:22,0,D,8.52,0.71579,9.94,4.43,,71.579
AA,10/02/2014,04:17:22,0,D,8.49,0.71603,9.94,4.43,,71.603
AA,10/02/2014,04:27:22,0,D,8.48,0.71603,9.85,4.43,,71.603
AA,10/02/2014,04:37:22,0,D,8.45,0.71621,9.85,4.43,,71.621
AA,10/02/2014,04:47:22,0,D,8.44,0.71603,9.85,4.43,,71.603
AA,10/02/2014,04:57:22,0,D,8.42,0.71603,9.85,4.43,,71.603
AA,10/02/2014,05:07:22,0,D,8.4,0.71621,9.85,4.43,,71.621
AA,10/02/2014,05:17:22,0,D,8.38,0.71621,9.85,4.43,,71.621
AA,10/02/2014,05:27:22,0,D,8.37,0.71621,9.76,4.43,,71.621
AA,10/02/2014,05:37:22,0,D,8.36,0.71621,9.76,4.43,,71.621
AA,10/02/2014,05:47:22,0,D,8.34,0.71664,9.76,4.43,,71.664
AA,10/02/2014,05:57:22,0,D,8.33,0.71664,9.76,4.43,,71.664
AA,10/02/2014,06:07:22,0,D,8.32,0.71664,9.76,4.43,,71.664
AA,10/02/2014,06:17:22,0,D,8.27,0.71664,9.67,4.43,,71.664
AA,10/02/2014,06:27:22,0,D,8.26,0.71664,9.67,4.43,,71.664
AA,10/02/2014,06:37:22,0,D,8.25,0.71688,9.67,4.43,,71.688
AA,10/02/2014,06:47:22,0,D,8.22,0.71664,9.67,4.43,,71.664
AA,10/02/2014,06:57:22,0,D,8.2,0.71664,9.59,4.43,,71.664
AA,10/02/2014,07:07:22,0,D,8.18,0.71646,9.59,4.42,,71.646
AA,10/02/2014,07:17:22,0,D,8.17,0.71688,9.59,4.42,,71.688
AA,10/02/2014,07:27:22,0,D,8.14,0.71713,9.59,4.42,,71.713
AA,10/02/2014,07:37:22,0,D,8.13,0.71731,9.59,4.42,,71.731
AA,10/02/2014,07:47:22,0,D,8.11,0.71713,9.59,4.42,,71.713
AA,10/02/2014,07:57:22,0,D,8.11,0.71688,9.59,4.42,,71.688
AA,10/02/2014,08:07:22,0,D,8.11,0.71688,9.59,4.42,,71.688
AA,10/02/2014,08:17:22,0,D,8.11,0.71603,9.59,4.42,,71.603
AA,10/02/2014,08:27:22,0,D,8.1,0.71579,9.59,4.42,,71.579
AA,10/02/2014,08:37:22,0,D,8.13,0.71518,9.59,4.42,,71.518
AA,10/02/2014,08:47:22,0,D,8.13,0.71475,9.67,4.42,,71.475
AA,10/02/2014,08:57:22,0,D,8.16,0.71408,9.67,4.42,,71.408
AA,10/02/2014,09:07:22,0,D,8.17,0.71304,9.67,4.42,,71.304
AA,10/02/2014,09:17:22,0,D,8.18,0.71218,9.76,4.42,,71.218
AA,10/02/2014,09:27:22,0,D,8.21,0.71408,9.76,4.42,,71.408
AA,10/02/2014,10:36:17,0,D,19.25,0.52698,20.8,4.8,,52.698
AA,10/02/2014,10:36:19,0,D,19.26,0.52674,20.8,4.8,,52.674
AA,10/02/2014,10:36:21,0,D,19.26,0.52698,20.8,4.8,,52.698
AA,10/02/2014,10:36:23,0,D,19.28,0.52631,20.8,4.8,,52.631
AA,10/02/2014,10:36:25,0,D,19.28,0.52582,20.8,4.8,,52.582
AA,10/02/2014,10:36:27,0,D,19.29,0.52582,20.88,4.8,,52.582
AA,10/02/2014,10:36:29,0,D,19.3,0.52674,20.97,4.8,,52.674
AA,10/02/2014,10:36:31,0,D,19.3,0.52484,20.97,4.8,,52.484
AA,10/02/2014,10:47:20,0,D,20.03,0.51422,21.55,4.83,,51.422
AA,10/02/2014,10:47:22,0,D,20.09,0.51373,21.55,4.83,,51.373
AA,10/02/2014,10:47:24,0,D,20.11,0.51203,21.64,4.83,,51.203
AA,10/02/2014,10:47:26,0,D,20.16,0.51276,21.72,4.83,,51.276
AA,10/02/2014,10:47:28,0,D,20.2,0.51203,21.72,4.83,,51.203
AA,10/02/2014,10:47:30,0,D,20.25,0.50934,21.72,4.83,,50.934
AA,10/02/2014,10:47:48,0,D,20.54,0.48688,21.89,4.83,,48.688
AA,10/02/2014,10:47:50,0,D,20.55,0.4859,21.89,4.83,,48.59
AA,10/02/2014,10:47:52,0,D,20.58,0.48413,21.89,4.83,,48.413
AA,10/02/2014,10:47:54,0,D,20.62,0.48242,21.89,4.83,,48.242
AA,10/02/2014,10:47:56,0,D,20.65,0.48193,21.89,4.83,,48.193
AA,10/02/2014,10:47:58,0,D,20.63,0.48242,21.97,4.83,,48.242
AA,10/02/2014,10:48:00,0,D,20.66,0.48266,21.97,4.83,,48.266
AA,10/02/2014,10:48:12,0,D,20.67,0.48663,22.05,4.83,,48.663
AA,10/02/2014,10:48:14,0,D,20.67,0.48688,22.05,4.84,,48.688
AA,10/02/2014,10:48:16,0,D,20.69,0.48712,22.14,4.84,,48.712
AA,10/02/2014,10:48:18,0,D,20.7,0.48688,22.14,4.83,,48.688
AA,10/02/2014,10:49:24,0,D,20.98,0.48169,22.14,4.72,,48.169
AA,10/02/2014,10:49:26,0,D,20.98,0.48565,22.14,4.71,,48.565
AA,10/02/2014,10:49:28,0,D,20.99,0.48785,22.14,4.71,,48.785
AA,10/02/2014,10:49:30,0,D,20.99,0.48785,22.05,4.71,,48.785
AA,10/02/2014,10:49:32,0,D,20.99,0.48736,22.05,4.7,,48.736
AA,10/02/2014,10:49:34,0,D,20.99,0.48614,22.05,4.7,,48.614
AA,10/02/2014,10:49:36,0,D,20.99,0.48413,22.05,4.7,,48.413
AA,10/02/2014,10:49:38,0,D,20.99,0.48218,22.14,4.7,,48.218
AA,10/02/2014,10:49:46,0,D,21.05,0.47455,22.22,4.69,,47.455
AA,10/02/2014,10:49:48,0,D,21.04,0.47326,22.14,4.69,,47.326
AA,10/02/2014,10:49:50,0,D,21.05,0.47277,22.14,4.69,,47.277
