Reference, Date, Time, Wind Pulses, Direction, Temperature, Humidity, Thermistor, Battery Voltage
AA,11-02-2014,00:00:21,0,D,10.77,0.64998,12.43,4.45
AA,11-02-2014,00:01:21,0,D,10.76,0.64998,12.43,4.45
AA,11-02-2014,00:02:21,0,D,10.76,0.64998,12.43,4.45
AA,11-02-2014,00:03:21,0,D,10.76,0.64998,12.43,4.45
AA,11-02-2014,00:04:21,0,D,10.74,0.65016,12.43,4.45
AA,11-02-2014,00:05:21,0,D,10.74,0.65016,12.43,4.45
AA,11-02-2014,00:06:21,0,D,10.74,0.65016,12.43,4.45
AA,11-02-2014,00:07:21,0,D,10.73,0.64974,12.43,4.45
AA,11-02-2014,00:08:21,0,D,10.73,0.65016,12.43,4.45
AA,11-02-2014,00:09:21,0,D,10.73,0.64998,12.43,4.45
AA,11-02-2014,00:10:21,0,D,10.72,0.64949,12.35,4.45
AA,11-02-2014,00:11:21,0,D,10.72,0.64931,12.35,4.45
AA,11-02-2014,00:12:21,0,D,10.72,0.65041,12.35,4.45
AA,11-02-2014,00:13:21,0,D,10.70,0.65084,12.35,4.45
AA,11-02-2014,00:14:21,0,D,10.70,0.65108,12.35,4.45
AA,11-02-2014,00:15:21,0,D,10.70,0.65132,12.35,4.45
AA,11-02-2014,00:16:21,0,D,10.70,0.65084,12.35,4.45
AA,11-02-2014,00:17:21,0,D,10.69,0.65132,12.35,4.45
AA,11-02-2014,00:18:21,0,D,10.69,0.65132,12.35,4.45
AA,11-02-2014,00:19:21,0,D,10.69,0.65132,12.35,4.45
AA,11-02-2014,00:20:21,0,D,10.68,0.65151,12.35,4.45
AA,11-02-2014,00:21:21,0,D,10.68,0.65132,12.35,4.45
AA,11-02-2014,00:22:21,0,D,10.68,0.65151,12.35,4.45
AA,11-02-2014,00:23:21,0,D,10.66,0.65108,12.35,4.45
AA,11-02-2014,00:24:21,0,D,10.68,0.65041,12.35,4.45
AA,11-02-2014,00:25:21,0,D,10.66,0.65108,12.35,4.45
AA,11-02-2014,00:26:21,0,D,10.66,0.65132,12.35,4.45
AA,11-02-2014,00:27:21,0,D,10.65,0.65108,12.35,4.45
AA,11-02-2014,00:28:21,0,D,10.65,0.65175,12.35,4.45
AA,11-02-2014,00:29:21,0,D,10.65,0.65132,12.35,4.45
AA,11-02-2014,00:30:21,0,D,10.63,0.65151,12.35,4.45
AA,11-02-2014,00:31:21,0,D,10.65,0.65175,12.35,4.45
AA,11-02-2014,00:32:21,0,D,10.63,0.65175,12.26,4.45
AA,11-02-2014,00:33:21,0,D,10.62,0.65041,12.26,4.45
AA,11-02-2014,00:34:21,0,D,10.63,0.65151,12.26,4.45
AA,11-02-2014,00:35:21,0,D,10.62,0.65200,12.26,4.45
AA,11-02-2014,00:36:21,0,D,10.61,0.65175,12.26,4.45
AA,11-02-2014,00:37:21,0,D,10.62,0.65218,12.26,4.45
AA,11-02-2014,00:38:21,0,D,10.61,0.65218,12.26,4.45
AA,11-02-2014,00:39:21,0,D,10.61,0.65132,12.26,4.45
AA,11-02-2014,00:40:21,0,D,10.59,0.65132,12.26,4.45
AA,11-02-2014,00:41:21,0,D,10.59,0.65242,12.26,4.45
AA,11-02-2014,00:42:21,0,D,10.58,0.65242,12.26,4.45
AA,11-02-2014,00:43:21,0,D,10.58,0.65200,12.26,4.45
AA,11-02-2014,00:44:21,0,D,10.58,0.65285,12.26,4.45
AA,11-02-2014,00:45:21,0,D,10.57,0.65218,12.26,4.45
AA,11-02-2014,00:46:21,0,D,10.58,0.65175,12.26,4.45
AA,11-02-2014,00:47:21,0,D,10.57,0.65218,12.26,4.45
AA,11-02-2014,00:48:21,0,D,10.55,0.65175,12.26,4.45
AA,11-02-2014,00:49:21,0,D,10.55,0.65267,12.26,4.45
AA,11-02-2014,00:50:21,0,D,10.55,0.65334,12.26,4.45
AA,11-02-2014,00:51:21,0,D,10.55,0.65309,12.26,4.45
AA,11-02-2014,00:52:21,0,D,10.55,0.65285,12.26,4.45
AA,11-02-2014,00:53:21,0,D,10.54,0.65242,12.18,4.45
AA,11-02-2014,00:54:21,0,D,10.54,0.65200,12.18,4.45
AA,11-02-2014,00:55:21,0,D,10.53,0.65285,12.18,4.45
AA,11-02-2014,00:56:21,0,D,10.53,0.65377,12.18,4.45
AA,11-02-2014,00:57:21,0,D,10.51,0.65334,12.18,4.45
AA,11-02-2014,00:58:21,0,D,10.51,0.65377,12.18,4.45
AA,11-02-2014,00:59:21,0,D,10.50,0.65267,12.18,4.45
AA,11-02-2014,01:00:21,0,D,10.51,0.65285,12.18,4.45
AA,11-02-2014,01:01:21,0,D,10.50,0.65267,12.18,4.45
AA,11-02-2014,01:02:21,0,D,10.50,0.65285,12.18,4.45
AA,11-02-2014,01:03:21,0,D,10.48,0.65309,12.18,4.45
AA,11-02-2014,01:04:21,0,D,10.48,0.65401,12.18,4.45
AA,11-02-2014,01:05:21,0,D,10.48,0.65444,12.18,4.45
AA,11-02-2014,01:06:21,0,D,10.48,0.65401,12.18,4.45
AA,11-02-2014,01:07:21,0,D,10.48,0.65419,12.18,4.45
AA,11-02-2014,01:08:21,0,D,10.48,0.65444,12.18,4.45
AA,11-02-2014,01:09:21,0,D,10.46,0.65444,12.18,4.45
AA,11-02-2014,01:10:21,0,D,10.46,0.65401,12.18,4.45
AA,11-02-2014,01:11:21,0,D,10.45,0.65267,12.09,4.45
AA,11-02-2014,01:12:21,0,D,10.46,0.65334,12.09,4.45
AA,11-02-2014,01:13:21,0,D,10.45,0.65419,12.09,4.45
AA,11-02-2014,01:14:21,0,D,10.43,0.65487,12.09,4.45
AA,11-02-2014,01:15:21,0,D,10.45,0.65487,12.09,4.45
AA,11-02-2014,01:16:21,0,D,10.45,0.65401,12.09,4.45
AA,11-02-2014,01:17:21,0,D,10.43,0.65487,12.09,4.45
AA,11-02-2014,01:18:21,0,D,10.43,0.65401,12.09,4.45
AA,11-02-2014,01:19:21,0,D,10.42,0.65401,12.09,4.45
AA,11-02-2014,01:20:21,0,D,10.42,0.65444,12.09,4.44
